"jetzt","сейчас","-","other;theme1"
"verboten","запрещенный","-","other;theme15"
"schade","жаль, досадно","-","other;theme15"
"sicher","безопасный","-","other;theme15"
"geradeaus","прямо","-","other;theme15"
"bald","скоро","-","other;theme16"
"kostenlos","бесплатно","-","other;theme16"
"frei","свободный","-","other;theme16"
"kaputt","сломаный","-","other;theme16"
"nass","мокрый","-","other;theme16"
"ähnlich","похожий, подобный","-","other;theme16"
"gleich","сейчас","-","other;theme16"
"sauber","чистый, опрятный","-","other;theme16"
"höflich","вежливый","-","other;theme2_1"
"obligatorisch","обязательный","-","other;theme2_1"
"ehrlich","честный","-","other;theme2_1"
"humorlos","лишенный юмора","-","other;theme2_1"
"fleißig","трудолюбивый","-","other;theme2_1"
"ordentlich","упорядоченный","-","other;theme2_1"
"stressig","стрессовый","-","other;theme2_1"
"hoffentlich","с надеждой","-","other;theme2_1"
"sofort","немедленно","-","other;theme2_1"
"durch","через","-","other;theme2_1"
"gegen","против","-","other;theme2_1"
"an (+Ort) vorbei","мимо (чего-то)","-","other;theme2_1"
"gegenüber von(+Ort)","напротив (чего-то)","-","other;theme2_1"
"mehrer-","несколько","-","other;theme2_1"
"unbedingt","абсолютно","-","other;theme2_1"
"weil","потому-что","-","other;theme2_2"
"besetzt (sein)","занято","-","other;theme2_2"
"nördlich von","севернее (чего-то)","-","other;theme2_2"
"östlich von","восточнее (чего-то)","-","other;theme2_2"
"südlich von","южнее (чего-то)","-","other;theme2_2"
"westlich von","западнее (чего-то)","-","other;theme2_2"
"intelligent","умный","-","other;theme2_3"
"dass",", что ….","-","other;theme2_3"
"anstrengend","изматывающий","-","other;theme2_3"
"blöd","глупый","-","other;theme2_3"
"nervös","нервный","-","other;theme2_3"
"denn","так как","-","other;theme2_3"
"genauso","точно так же","-","other;theme2_3"
"nächst","следующий","-","other;theme2_3"
"vor allem","прежде всего","-","other;theme2_3"
"auswendig","наизусть","-","other;theme2_3"
"furchtbar","ужасный","-","other;theme2_3"
"verrückt","ненормально","-","other;theme2_3"
"hübsch","хорошенькая","-","theme2_4;other"
"plötzlich","внезапно","-","theme2_4;other"
"vorher","пред","-","theme2_4;other"
"einzeln","в отдельности","-","theme2_4;other"
"normal","нормально","-","theme2_4;other"
"tief","глубоко","-","theme2_4;other"
